trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.4057743976568072, 'e': 0.001138282345262882}",30,16,30.120276657876598,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.4038434499484918, 'e': 0.001090184492393658}",20,0,7.080373770197856,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
159,False,"{'a': 0.4019186572692874, 'e': 0.0010441190029887855}",25,8,30.304957900512434,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.3999999999996137, 'e': 0.0010000000000079236}",30,18,23.297271540613387,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.3980874585824294, 'e': 0.0009577452351248779}",20,9,17.156047312244706,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0.0}",20,7,27.11997652828756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0.0}",20,0,31.364348319241167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0.0}",30,23,14.08379062742774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0.0}",25,15,18.908781673495945,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0.0}",20,14,10.304325111229817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0.0}",20,14,10.949992981356473,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0.0}",30,7,35.67127995952,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0.0}",25,0,36.3419327227396,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0.0}",20,10,18.421586924049105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0.0}",25,14,19.94462911747719,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0.0}",25,6,27.84988268521394,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0.0}",20,13,11.554972906493594,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0.0}",30,13,33.04521533639436,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0.0}",20,15,11.404284880703514,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0.0}",20,9,22.898139717067195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0.0}",20,11,16.61360906350317,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0.0}",35,7,48.298826163388355,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0.0}",20,10,19.21750590020634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0.0}",30,0,42.333921091176215,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0.0}",25,6,33.25409148217015,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
